jst,bid,ask,volume,volume_real,flags
2025-06-18 00:00:09.673000+09:00,73.225,73.279,0,0.0,1158
2025-06-18 00:00:09.771000+09:00,73.225,73.289,0,0.0,1028
2025-06-18 00:00:10.172000+09:00,73.245,73.299,0,0.0,1158
2025-06-18 00:00:10.271000+09:00,73.255,73.319,0,0.0,1158
2025-06-18 00:00:10.471000+09:00,73.255,73.309,0,0.0,1028
2025-06-18 00:00:10.573000+09:00,73.265,73.319,0,0.0,1158
2025-06-18 00:00:10.773000+09:00,73.265,73.329,0,0.0,1028
2025-06-18 00:00:10.874000+09:00,73.265,73.319,0,0.0,1028
2025-06-18 00:00:10.973000+09:00,73.265,73.329,0,0.0,1028
2025-06-18 00:00:11.073000+09:00,73.275,73.329,0,0.0,1154
2025-06-18 00:00:11.174000+09:00,73.275,73.339,0,0.0,1028
2025-06-18 00:00:11.374000+09:00,73.285,73.349,0,0.0,1158
2025-06-18 00:00:11.474000+09:00,73.265,73.329,0,0.0,1158
2025-06-18 00:00:11.574000+09:00,73.255,73.319,0,0.0,1158
2025-06-18 00:00:11.777000+09:00,73.265,73.319,0,0.0,1154
2025-06-18 00:00:11.875000+09:00,73.255,73.319,0,0.0,1154
2025-06-18 00:00:11.976000+09:00,73.275,73.329,0,0.0,1158
2025-06-18 00:00:12.376000+09:00,73.265,73.329,0,0.0,1154
2025-06-18 00:00:12.678000+09:00,73.285,73.349,0,0.0,1158
2025-06-18 00:00:12.978000+09:00,73.265,73.329,0,0.0,1158
2025-06-18 00:00:13.079000+09:00,73.255,73.319,0,0.0,1158
2025-06-18 00:00:13.480000+09:00,73.265,73.329,0,0.0,1158
2025-06-18 00:00:13.880000+09:00,73.275,73.329,0,0.0,1154
2025-06-18 00:00:14.181000+09:00,73.275,73.339,0,0.0,1028
2025-06-18 00:00:14.281000+09:00,73.275,73.329,0,0.0,1028
2025-06-18 00:00:14.480000+09:00,73.275,73.339,0,0.0,1028
2025-06-18 00:00:14.882000+09:00,73.265,73.329,0,0.0,1158
2025-06-18 00:00:15.182000+09:00,73.275,73.329,0,0.0,1154
2025-06-18 00:00:15.381000+09:00,73.275,73.339,0,0.0,1028
2025-06-18 00:00:15.782000+09:00,73.265,73.329,0,0.0,1158
2025-06-18 00:00:15.882000+09:00,73.275,73.339,0,0.0,1158
2025-06-18 00:00:15.985000+09:00,73.285,73.349,0,0.0,1158
2025-06-18 00:00:16.083000+09:00,73.275,73.339,0,0.0,1158
2025-06-18 00:00:16.683000+09:00,73.285,73.349,0,0.0,1158
2025-06-18 00:00:17.884000+09:00,73.305,73.359,0,0.0,1158
2025-06-18 00:00:17.985000+09:00,73.305,73.369,0,0.0,1028
2025-06-18 00:00:18.085000+09:00,73.315,73.369,0,0.0,1154
2025-06-18 00:00:18.485000+09:00,73.315,73.379,0,0.0,1028
2025-06-18 00:00:18.786000+09:00,73.305,73.369,0,0.0,1158
2025-06-18 00:00:19.086000+09:00,73.315,73.369,0,0.0,1154
2025-06-18 00:00:19.286000+09:00,73.315,73.379,0,0.0,1028
2025-06-18 00:00:20.289000+09:00,73.325,73.389,0,0.0,1158
2025-06-18 00:00:20.388000+09:00,73.335,73.409,0,0.0,1158
2025-06-18 00:00:20.488000+09:00,73.325,73.379,0,0.0,1158
2025-06-18 00:00:20.790000+09:00,73.325,73.389,0,0.0,1028
2025-06-18 00:00:20.888000+09:00,73.325,73.379,0,0.0,1028
2025-06-18 00:00:21.092000+09:00,73.335,73.389,0,0.0,1158
2025-06-18 00:00:21.291000+09:00,73.335,73.399,0,0.0,1028
2025-06-18 00:00:21.892000+09:00,73.355,73.419,0,0.0,1158
2025-06-18 00:00:21.991000+09:00,73.375,73.429,0,0.0,1158
2025-06-18 00:00:22.394000+09:00,73.365,73.429,0,0.0,1154
2025-06-18 00:00:23.392000+09:00,73.365,73.419,0,0.0,1028
2025-06-18 00:00:23.996000+09:00,73.335,73.399,0,0.0,1158
2025-06-18 00:00:24.395000+09:00,73.335,73.389,0,0.0,1028
2025-06-18 00:00:24.596000+09:00,73.345,73.399,0,0.0,1158
2025-06-18 00:00:25.100000+09:00,73.335,73.399,0,0.0,1154
2025-06-18 00:00:25.500000+09:00,73.345,73.399,0,0.0,1154
2025-06-18 00:00:25.896000+09:00,73.335,73.399,0,0.0,1154
2025-06-18 00:00:26.396000+09:00,73.355,73.409,0,0.0,1158
